"90","RELIEVE C.A.","1","FLA-1813-A","FLA-SPRAY METALIC GOLD","514","SPRAY","2" 
"95","RELIEVE ORIENTE C.A.","3","ARM-072F101-1","ARMONIA INTERIOR BLANCO","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","ARM-072F142-1","ARMONIA INTERIOR DURAZNO TIERN","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","ARM-072F2026T-1","ARMONIA INTERIOR RAYO SOLAR","505","PINTURAS CAUCHOS","16" 
"95","RELIEVE ORIENTE C.A.","3","ARM-072F2374T-1","ARMONIA INTERIOR ETERNO AZUL","505","PINTURAS CAUCHOS","12" 
"95","RELIEVE ORIENTE C.A.","3","ARM-072F2481D-1","ARMONIA INTERIOR JAMAICA","505","PINTURAS CAUCHOS","11" 
"95","RELIEVE ORIENTE C.A.","3","ARM-085F010-1","ARMONIA SATINADO BCO. DURAZNO","505","PINTURAS CAUCHOS","8" 
"95","RELIEVE ORIENTE C.A.","3","ARM-085F084-1","ARMONIA SATINADO AGUAMARINA","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","ARM-085F085-1","ARMONIA SATINADO AGUACATE","505","PINTURAS CAUCHOS","8" 
"95","RELIEVE ORIENTE C.A.","3","ARM-085F2043P-1","ARMONIA SATINADO BRILLO DORADO","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","ARM-085F2237D-1","ARMONIA SATINADO DULC.CEREZA","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","ARM-582F071-1","ARMONIA EXTERIOR COCOA","505","PINTURAS CAUCHOS","8" 
"95","RELIEVE ORIENTE C.A.","3","ARM-582F154-1","ARMONIA EXTERIOR MAGNOLIA","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","ARM-582F2040T-1","ARMONIA EXTERIOR CROCUS","505","PINTURAS CAUCHOS","6" 
"95","RELIEVE ORIENTE C.A.","3","ARM-582F2476C-1","ARMONIA EXTERIOR MAR","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","ARM-582F2805C-1","ARMONIA EXTERIOR AVELLANA","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","FLA-10-84-4","FONDO P/HERRERIA GRIS","501","FONDOS","3" 
"95","RELIEVE ORIENTE C.A.","3","FLA-10-84-5","FONDO P/HERRERIA GRIS","501","FONDOS","2" 
"95","RELIEVE ORIENTE C.A.","3","FLA-10-91-4","FONDO NEGRO","501","FONDOS","6" 
"95","RELIEVE ORIENTE C.A.","3","FLA-11-11-1","FONDO PROTECTOR BLANCO","501","FONDOS","2" 
"95","RELIEVE ORIENTE C.A.","3","FLA-11-11-4","FONDO PROTECTOR BLANCO","501","FONDOS","21" 
"95","RELIEVE ORIENTE C.A.","3","FLA-169-100-1","SELLADOR NITRO LISTO PARA USAR","802","SELLADORES PARA MADERA","1" 
"95","RELIEVE ORIENTE C.A.","3","FLA-17-00-1","FONDO ECOLOG/ANTIALCALINO","501","FONDOS","8" 
"95","RELIEVE ORIENTE C.A.","3","FLA-180-912-1","FONDO GRIS RELLENADOR","501","FONDOS","16" 
"95","RELIEVE ORIENTE C.A.","3","FLA-20-11-4","FLA-GLOSS BLANCO","507","PINTURAS ESMALTES","33" 
"95","RELIEVE ORIENTE C.A.","3","FLA-20-12-1","FLA-GLOSS BLANCO OSTRA","507","PINTURAS ESMALTES","8" 
"95","RELIEVE ORIENTE C.A.","3","FLA-20-12-4","FLA-GLOSS BLANCO OSTRA","507","PINTURAS ESMALTES","24" 
"95","RELIEVE ORIENTE C.A.","3","FLA-20-31-4","FLA-GLOSS NARANJA","507","PINTURAS ESMALTES","12" 
